sst, department, storage
a, @,Altonaer Straße
as, @,Altonaer Straße
b, @,Altonaer Straße
f, @,Altonaer Straße
g, @,Altonaer Straße
i, @,Altonaer Straße
l, @,Altonaer Straße
m1, @magazin,Magazin
m2, @magazin,Magazin
m3, @magazin,Magazin
m4, @magazin,Magazin
m6, @magazin,Magazin
m7, @magazin,Magazin
m9, @magazin,Magazin
m9-b, @magazin,Magazin
p, @schl,Schlüterstraße
mag, @magazin,Magazin
ps, @schl,Schlüterstraße
r, @,Altonaer Straße
s, @,Altonaer Straße
t, @,Altonaer Straße
v, @,Altonaer Straße
verwaltungsbibliothek, @,Altonaer Straße
w, @,Altonaer Straße
za, @,Altonaer Straße
zei, @,Altonaer Straße
