sst, department, storage, storagehome
dva,,Institut der TUHH,http://www.tub.tu-harburg.de/3331.html
so,,Lesesaal 2: SO - Soziologie,http://www.tub.tu-harburg.de/869.html
ti,,Lesesaal 1: TI - Technische Informatik,http://www.tub.tu-harburg.de/868.html
