sst,department,storage,limitation
2213,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2214,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2215,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2216,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2217,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2218,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2219,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2220,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2270,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
2273,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
3010,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
3201,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
3210,@golm,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Golm (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
3000,@bbb,,
3001,@bbb,,
3002,@bbb,Zeitschriften,
3003,@bbb,,
3004,@bbb,,
3005,@bbb,UN-Depotbibliothek,
3006,@bbb,,
3007,@bbb,Zeitschriften,
3008,@bbb,,
3009,@bbb,,
3011,@bbb,,
3080,@bbb,Semesterapparat,
3081,@bbb,,
3104,@bbb,,
3105,@bbb,,
3106,@bbb,,
3160,@bbb,Lehrbuchsammlung,
3170,@bbb,,
3012,@bbb,Winfried-Schulz-Bibliothek fuer Kirchenrecht,
3013,@bbb,Winfried-Schulz-Bibliothek fuer Kirchenrecht,
3200,@bbb,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Babelsberg (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
3202,@bbb,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Babelsberg (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
3207,@bbb,"Magazin, Bestand mit Benutzungseinschränkungen",Bitte wenden Sie sich an die Informationsplätze der Bereichsbibliotheken.
3209,@bbb,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Babelsberg (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
3220,@bbb,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Babelsberg (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
3221,@bbb,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Babelsberg (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
3280,@bbb,Magazin,"Bestellen Sie bitten über den Online-Katalog der UB. Bereitstellung in der BB Babelsberg (mindestens eine Stunde vorher bestellt: Mo - Fr: 09:00, 12:00 und 15:00 Uhr. Bereitstellung an anderen Standorten: i.d.R. am nächsten Öffnungstag, ausgenommen Samstag und Sonntag"
1180,@np09,Semesterapparat,
1261,@np09,,
1302,@np09,,
1304,@np09,Medienschrank,
1307,@np09,,
1308,@np09,Medienschrank,
4200,@np09,,
4201,@np09,,
4260,@np09,,
4300,@np09,,
4301,@np09,,
4360,@np09,,
4400,@np09,,
4401,@np09,,
4460,@np09,,
4500,@np09,,
4501,@np09,,
4560,@np09,,
1000,@np10,,
1001,@np10,,
1030,@np10,,
1041,@np10,,
1140,@np10,,
1141,@np10,,
1160,@np10,,
1412,@np10,,
4000,@np10,,
4001,@np10,,
4020,@np10,Bestand am Infoplatz,
4080,@np10,Semesterapparat,
4107,@np10,Bestand an der Ausleihtheke,
4108,@np10,Bestand an der Ausleihtheke,
4160,@np10,,
1435,@np11,Sondersammlung,Bitte wenden Sie sich an die Informationsplätze der Bereichsbibliotheken.
1436,@np11,Sondersammlung,Bitte wenden Sie sich an die Informationsplätze der Bereichsbibliotheken.
1080,@np11,,
1101,@np11,,
1202,@np11,Sondersammlung,Bitte wenden Sie sich an die Informationsplätze der Bereichsbibliotheken.
1203,@np11,Sondersammlung,Bitte wenden Sie sich an die Informationsplätze der Bereichsbibliotheken.
1204,@np11,Mikrofiche,
1205,@np11,Bestand an der Servicetheke,
1206,@np11,Mikrofiche,
1207,@np11,Bestand an der Servicetheke,
1313,@np11,,
4010,@np11,Zeitschriften,
4011,@np11,Zeitschriften,
4101,@np11,Medienschrank,
4102,@np11,Medienregal,
4103,@np11,Mikrofiche,
4104,@np11,Medienschrank,
4105,@np11,Medienregal,
4106,@np11,Mikrofiche,
4111,@np11,,
4112,@np11,Bestand an der Servicetheke,
4113,@np11,Bestand an der Servicetheke,
4161,@np11,,
4162,@np11,Medienschrank,
4600,@np11,,
4601,@np11,,
4660,@np11,,
1142,@np11,Sammlung Merve-Verlag,
1416,@np11,Sondersammlung,Bitte wenden Sie sich an die Informationsplätze der Bereichsbibliotheken.
1420,@np11,Sondersammlung,Bitte wenden Sie sich an die Informationsplätze der Bereichsbibliotheken.
4110,@np11,,
1403,@ha,,
1404,@ha,,
1424,@ha,,
1425,@ha,,
1427,@ha,,
1437,@ha,,
2420,@ha,,
2421,@ha,,
2422,@ha,,
2424,@ha,,
2502,@ha,,
2504,@ha,,
2507,@ha,,
2508,@ha,,
2510,@ha,,
2511,@ha,,
2513,@ha,,
2514,@ha,,
2517,@ha,,
2550,@ha,,
2551,@ha,,
2552,@ha,,
2553,@ha,,
2555,@ha,,
2557,@ha,,
2559,@ha,,
2560,@ha,,
2561,@ha,,
2650,@ha,,
2651,@ha,,
2653,@ha,,
2684,@ha,,
1420,@ha,,
1658,@ha,,
1651,@ha,,
1652,@ha,,
1653,@ha,,
1654,@ha,,
1655,@ha,,
1656,@ha,,
1659,@ha,,
1664,@ha,,
1669,@ha,,
1670,@ha,,
1671,@ha,,
1531,@ha,,
1532,@ha,,
1660,@ha,,
1661,@ha,,
1662,@ha,,
1663,@ha,,
1667,@ha,,
1668,@ha,,
1432,@ha,,
1536,@ha,,
1538,@ha,,
1543,@ha,,
1546,@ha,,
1547,@ha,,
1548,@ha,,
1549,@ha,,
1451,@ha,,
1452,@ha,,
1453,@ha,,
1536,@ha,,
1538,@ha,,
1540,@ha,,
1541,@ha,,
1542,@ha,,
1829,@ha,,
2713,@ha,,
1455,@ha,,
1456,@ha,,
1457,@ha,,
1458,@ha,,
1459,@ha,,
1460,@ha,,
1461,@ha,,
1465,@ha,,
1466,@ha,,
1467,@ha,,
1470,@ha,,
1471,@ha,,
1472,@ha,,
1500,@ha,,
1502,@ha,,
1504,@ha,,
1506,@ha,,
1507,@ha,,
1508,@ha,,
1511,@ha,,
1513,@ha,,
1514,@ha,,
1515,@ha,,
1516,@ha,,
1518,@ha,,
1519,@ha,,
1520,@ha,,
1550,@ha,,
1553,@ha,,
1600,@ha,,
1602,@ha,,
1610,@ha,,
1617,@ha,,
1619,@ha,,
1620,@ha,,
1621,@ha,,
1622,@ha,,
1623,@ha,,
1624,@ha,,
1746,@ha,,
1747,@ha,,
1748,@ha,,
1749,@ha,,
1750,@ha,,
1751,@ha,,
1752,@ha,,
1753,@ha,,
1754,@ha,,
1755,@ha,,
