"sst","department","storage"
"28(.)BB2-S17W","@","FB Geisteswissenschaften Semesterapparat: Berndt,C. / Regal 6"
"28(.)BB2-S18S","@","FB Geisteswissenschaften Semesterapparat: Tuczek,S. / Regal 12"
"28(.)BB2-S18W","@","FB Geisteswissenschaften Semesterapparat: Tuczek,S. / Regal 12"
"28(.)BB2-S19","@","FB Geisteswissenschaften Semesterapparat: Tutoren/IASP / Regal 5"
"28(.)BB2-S20S","@","FB Geisteswissenschaften Semesterapparat: Ewald,P.Prof. / Regal 11"
"28(.)BB2-S20W","@","FB Geisteswissenschaften Semesterapparat: Ewald,P.Prof. / Regal 11"
"28(.)BB2-S21","@","FB Geisteswissenschaften Semesterapparat: Perleth,Chr.Prof/Mantey,M. / Regal 8"
"28(.)BB2-S22","@","FB Geisteswissenschaften Semesterapparat: Rossow,H.Dr. / Regal 2"
"28(.)BB2-S23S","@","FB Geisteswissenschaften Semesterapparat: Prommer,E.Prof. / Regal 13"
"28(.)BB2-S23W","@","FB Geisteswissenschaften Semesterapparat: Prommer,E.Prof. / Regal 13"
"28(.)BB2-S24S","@","FB Geisteswissenschaften Semesterapparat: Götz,U.Dr. / Regal 10"
"28(.)BB2-S24W","@","FB Geisteswissenschaften Semesterapparat: Götz,U.Dr. / Regal 10"
"28(.)BB2-S25S","@","FB Geisteswissenschaften Semesterapparat: Kaiser,F.X.Prof. / Regal 7"
"28(.)BB2-S25W","@","FB Geisteswissenschaften Semesterapparat: Kaiser,F.X.Prof. / Regal 7"
"28(.)BB2-S26S","@","FB Geisteswissenschaften Semesterapparat: Morawiak,U. / Regal 4"
"28(.)BB2-S26W","@","FB Geisteswissenschaften Semesterapparat: Morawiak,U. / Regal 4"
"28(.)BB2-S27","@","FB Geisteswissenschaften Semesterapparat: Sprachgeschichte Mittelhochdeutsch / Regal 10"
"28(.)BB2-S28S","@","FB Geisteswissenschaften Semesterapparat: Braun,H./Labahn,K. / Regal 9"
"28(.)BB2-S28W","@","FB Geisteswissenschaften Semesterapparat: Braun,H./Labahn,K. / Regal 9"
"28(.)BB2-S29S","@","FB Geisteswissenschaften Semesterapparat: Behrens,Ch. / Schwan,T.Dr. / Regal 15"
"28(.)BB2-S29W","@","FB Geisteswissenschaften Semesterapparat: Behrens,Ch. / Schwan,T.Dr. / Regal 15"
"28(.)BB2-S30","@","FB Geisteswissenschaften Semesterapparat: Hartke,B.Dr. / Regal 5"
"28(.)BB2-S31S","@","FB Geisteswissenschaften Semesterapparat: Zastrow,A.Dr. / Regal 12"
"28(.)BB2-S31W","@","FB Geisteswissenschaften Semesterapparat: Zastrow,A.Dr. / Regal 12"
"28(.)BB2-S32S","@","FB Geisteswissenschaften Semesterapparat: Kroll,S.Dr. / Regal 13"
"28(.)BB2-S32W","@","FB Geisteswissenschaften Semesterapparat: Kroll,S.Dr. / Regal 13"
"28(.)BB2-S33S","@","FB Geisteswissenschaften Semesterapparat: Findeis,Y. / Regal 7"
"28(.)BB2-S33W","@","FB Geisteswissenschaften Semesterapparat: Findeis,Y. / Regal 7"
"28(.)BB2-S34S","@","FB Geisteswissenschaften Semesterapparat: Neumann,M. / Regal 9"
"28(.)BB2-S34W","@","FB Geisteswissenschaften Semesterapparat: Neumann,M. / Regal 9"
"28(.)BB2-S35S","@","FB Geisteswissenschaften Semesterapparat: Neumann,R.Dr."
"28(.)BB2-S35W","@","FB Geisteswissenschaften Semesterapparat: Neumann,R.Dr."
"28(.)BB2-S36S","@","FB Geisteswissenschaften Semesterapparat: Holznagel,F.-J.Prof./G/322tz,U.Prof / Regal 10"
"28(.)BB2-S36W","@","FB Geisteswissenschaften Semesterapparat: Holznagel,F.-J.Prof./G/322tz,U.Prof / Regal 10"
"28(.)BB2-S37S","@","FB Geisteswissenschaften Semesterapparat: Gessing,A. / Regal 9"
"28(.)BB2-S37W","@","FB Geisteswissenschaften Semesterapparat: Gessing,A. / Regal 9"
"28(.)BB2-S38S","@","FB Geisteswissenschaften Semesterapparat: Arnold,R.Prof. / Regal 16"
"28(.)BB2-S38W","@","FB Geisteswissenschaften Semesterapparat: Arnold,R.Prof. / Regal 16"
"28(.)BB2-S39S","@","FB Geisteswissenschaften Semesterapparat: Schwarz-Scherer,M.Dr. / Regal 11"
"28(.)BB2-S39W","@","FB Geisteswissenschaften Semesterapparat: Schwarz-Scherer,M.Dr. / Regal 11"
"28(.)BB2-S40","@","FB Geisteswissenschaften Semesterapparat: Schmidt,K. / Morkötter,S.Prof. / Regal 2"
"28(.)BB2-S41S","@","FB Geisteswissenschaften Semesterapparat: Morkötter,S.Prof. (Romanistik) / Regal 15"
"28(.)BB2-S41W","@","FB Geisteswissenschaften Semesterapparat: Morkötter,S.Prof. (Romanistik) / Regal 15"
"28(.)BB2-S42S","@","FB Geisteswissenschaften Semesterapparat: Schwertfeger,A.Dr. / Regal 5"
"28(.)BB2-S42W","@","FB Geisteswissenschaften Semesterapparat: Schwertfeger,A.Dr. / Regal 5"
"28(.)BB2-S43","@","FB Geisteswissenschaften Semesterapparat: Grundkurs Anglistik / Regal 1"
"28(.)BB2-S44","@","FB Geisteswissenschaften Semesterapparat: Kornexl,L.Prof. / Regal 1"
"28(.)BB2-S45S","@","FB Geisteswissenschaften Semesterapparat: Koch,Ch. / Regal 12"
"28(.)BB2-S45W","@","FB Geisteswissenschaften Semesterapparat: Koch,Ch. / Regal 12"
"28(.)BB2-S46S","@","FB Geisteswissenschaften Semesterapparat: Tanejew,S. / Regal 4"
"28(.)BB2-S46W","@","FB Geisteswissenschaften Semesterapparat: Tanejew,S. / Regal 4"
"28(.)BB2-S47S","@","FB Geisteswissenschaften Semesterapparat: Linke,G.Prof./HA / Regal 3"
"28(.)BB2-S47W","@","FB Geisteswissenschaften Semesterapparat: Linke,G.Prof./HA / Regal 3"
"28(.)BB2-S48S","@","FB Geisteswissenschaften Semesterapparat: Holznagel,F.Prof./HA / Regal 10"
"28(.)BB2-S48W","@","FB Geisteswissenschaften Semesterapparat: Holznagel,F.Prof./HA / Regal 10"
"28(.)BB2-S49S","@","FB Geisteswissenschaften Semesterapparat: Cölln,J.Dr./HA / Regal 10"
"28(.)BB2-S49W","@","FB Geisteswissenschaften Semesterapparat: Cölln,J.Dr./HA / Regal 10"
"28(.)BB2-S50S","@","FB Geisteswissenschaften Semesterapparat: Reiske,R. / Regal 14"
"28(.)BB2-S50W","@","FB Geisteswissenschaften Semesterapparat: Reiske,R. / Regal 14"
"28(.)BB2-S51S","@","FB Geisteswissenschaften Semesterapparat: Sittig-Krippner,C.Dr. / Regal 12"
"28(.)BB2-S51W","@","FB Geisteswissenschaften Semesterapparat: Sittig-Krippner,C.Dr. / Regal 12"
"28(.)BB2-S52S","@","FB Geisteswissenschaften Semesterapparat: Veith,S. / Regal 6"
"28(.)BB2-S52W","@","FB Geisteswissenschaften Semesterapparat: Veith,S. / Regal 6"
"28(.)BB2-S53S","@","FB Geisteswissenschaften Semesterapparat: Schoöne,A.-K. / Regal 15"
"28(.)BB2-S53W","@","FB Geisteswissenschaften Semesterapparat: Schoöne,A.-K. / Regal 15"
"28(.)BB2-S54","@","FB Geisteswissenschaften Semesterapparat: Basisliteratur Sprachwiss.Anglistik / Regal 1"
"28(.)BB2-S55","@","FB Geisteswissenschaften Semesterapparat: Doerfel-Baasen,D.Dr. / Regal 5"
"28(.)BB2-S56S","@","FB Geisteswissenschaften Semesterapparat: Steinhagen,A. / Regal 8"
"28(.)BB2-S56W","@","FB Geisteswissenschaften Semesterapparat: Steinhagen,A. / Regal 8"
"28(.)BB2-S57S","@","FB Geisteswissenschaften Semesterapparat: Brandt,D. / Regal 9"
"28(.)BB2-S57W","@","FB Geisteswissenschaften Semesterapparat: Brandt,D. / Regal 9"
"28(.)BB2-S58","@","FB Geisteswissenschaften Semesterapparat: Morkötter,S.Prof. / Regal 2"
"28(.)BB2-S59S","@","FB Geisteswissenschaften Semesterapparat: Winny,S. / Regal 4"
"28(.)BB2-S59W","@","FB Geisteswissenschaften Semesterapparat: Winny,S. / Regal 4"
"28(.)BB2-S60","@","FB Geisteswissenschaften Semesterapparat: Basisliteratur Fachdidaktik / Regal 1"
"28(.)BB2-S61","@","FB Geisteswissenschaften Semesterapparat: Theoretische Philosophie / Regal 14"
"28(.)BB2-S62","@","FB Geisteswissenschaften Semesterapparat: Basisliteratur Fachdidaktik Deutsch / Regal 9"
"28(.)BB2-S63S","@","FB Geisteswissenschaften Semesterapparat: Krause,S. (Anglistik) / Regal 2"
"28(.)BB2-S63W","@","FB Geisteswissenschaften Semesterapparat: Krause,S. (Anlglistik) / Regal 2"
"28(.)BB2-S64S","@","FB Geisteswissenschaften Semesterapparat: Morkötter,S. (Anglistik) / Regal 2"
"28(.)BB2-S64W","@","FB Geisteswissenschaften Semesterapparat: Morkötter,S. (Anglistik) / Regal 2"
"28(.)BB2-S65","@","FB Geisteswissenschaften Semesterapparat: Häcker,T.Prof. / Regal 5"
"28(.)BB2-S66S","@","FB Geisteswissenschaften Semesterapparat: Jungmann,T.Prof./Strehmann,A. / Regal 6"
"28(.)BB2-S66W","@","FB Geisteswissenschaften Semesterapparat: Jungmann,T.Prof./Strehmann,A. / Regal 6"
"28(.)BB2-S67S","@","FB Geisteswissenschaften Semesterapparat: Christinidis,G.Dr. / Regal 3"
"28(.)BB2-S67W","@","FB Geisteswissenschaften Semesterapparat: Christinidis,G.Dr. / Regal 3"
"28(.)BB2-S68","@","FB Geisteswissenschaften Semesterapparat: Stumpf,E.Prof. / Regal 7"
"28(.)BB2-S69S","@","FB Geisteswissenschaften Semesterapparat: Hagestedt,L.Dr. / Regal 11"
"28(.)BB2-S69W","@","FB Geisteswissenschaften Semesterapparat: Hagestedt,L.Dr. / Regal 11"
"28(.)BB2-S70S","@","FB Geisteswissenschaften Semesterapparat: Kluck,S.Dr. / Regal 14"
"28(.)BB2-S70W","@","FB Geisteswissenschaften Semesterapparat: Kluck,S.Dr. / Regal 14"
"28(.)BB2-S71","@","FB Geisteswissenschaften Semesterapparat: Fiedler,M.Dr. / Regal 5"
"28(.)BB2-S72","@","FB Geisteswissenschaften Semesterapparat: Semesterapparat ISB / Regal 6"
"28(.)BB2-S73","@","FB Geisteswissenschaften Semesterapparat: Schlagowsky,C. / Regal 15"
"28(.)BB2-S74S","@","FB Geisteswissenschaften Semesterapparat: Wodianka,S.Prof. / Regal 16"
