sst,department,storage
ausleihtheke,@,Ausleihtheke
"bibliothek, abteilung ausbildung",@,"Bibliothek, Abteilung Ausbildung"
"bibliothek, abteilung Benutzungsleitung",@,"Bibliothek, Abteilung Benutzungsleitung"
"bibliothek, abteilung bibliotheksit",@,"Bibliothek, Abteilung BibliotheksIT"
"bibliothek, abteilung erwerbung",@,"Bibliothek, Abteilung Erwerbung"
"bibliothek, abteilung fernleihe",@,"Bibliothek, Abteilung Fernleihe"
"bibliothek, abteilung katalogisierung",@,"Bibliothek, Abteilung Katalogisierung"
"bibliothek, abteilung leitung",@,"Bibliothek, Abteilung Leitung"
"bibliothek, abteilung lizenzadministration",@,"Bibliothek, Abteilung Lizenzadministration"
bibliotheksleitung elsfleth,ISIL DE-897-1,Bibliotheksleitung Elsfleth
erste-hilfe-kasten,@,Erste-Hilfe-Kasten
fachbereich ingenieurwissenschaften,@,Fachbereich Ingenieurwissenschaften
handapparat,@,Handapparat
im netz der hochschule,@,Im Netz der Hochschule
labor für chemie,@,Labor für Chemie
labor für den entwurf integrierter schaltungen,@,Labor für den Entwurf integrierter Schaltungen
labor für feinwerkkonstruktion,@,Labor für Feinwerkkonstruktion
labor für institut für konstruktions- und produktionstechnik,@,Labor für Institut für Konstruktions- und Produktionstechnik
labor für iwp schweisstechnik,@,Labor für IWP/Schweiîtechnik
labor für kommunikations- und digitaltechnik,@,Labor für Kommunikations- und Digitaltechnik
labor für lernkompetenzen mathematik,@,Labor für Lernkompetenzen Mathematik
labor für maschinenbau,@,Labor für Maschinenbau
labor für maschinenelemente,@,Labor für Maschinenelemente
labor für medizintechnik,@,Labor für Medizintechnik
labor für mikrocomputertechnik,@,Labor für Mikrocomputertechnik
labor für mikrofertigung,@,Labor für Mikrofertigung
labor für physik,@,Labor für Physik
labor für umwelttechnik,@,Labor für Umwelttechnik
labor für werkstofftechnik,@,Labor für Werkstofftechnik
labor für werkzeugmaschinen,@,Labor für Werkzeugmaschinen
lesesaal,@,Lesesaal
magazin,@,Magazin
medienschrank,@,Medienschrank
semesterapparat,@,Semesterapparat
zs-cd-fach,@,ZS-CD-Fach
