sst, department, storage
ha100,@,Labor für Arbeitssicherheit/Arbeitsmedizin
ha101,@,HA IAPG
ha102,@,HA Robbers / Lesesaal/Regal 10
ha103,@,HA Pollok / Lesesaal/Regal 10
ha104,@,HA Grunwald ‚Konstruieren‘ / Lesesaal/Regal 10
ha151,@,HA Büro Fr. Voßmann / Bauwesen
ha162,@,HA Büro Frau Petrarca / TGM
ha164,@,HA Information / Bibliothek
ha185,@,HA Büro Thiessen / Architektur
ha193,@,HA Prüfungsamt
ha214,@,HA Dekanat Geoinformation
ha219,@,HA Photogrammetrie
ha228,@,HA Institut für Hörtechnik und Audiologie
ha234,@,HA Büro Weßels / Bauwesen
ha247,@,HA Büro Diemand / Bauwesen
ha296,@,HA Büro W. Janßen / Bauwesen
ha297,@,HA Metallbauwerkstatt
ha328,@,HA Büro Brinkhoff / Geoinformation
ha383,@,HA Baustoffprüflabor
ha392,@,HA Labor für Schweiß- und Prüftechnik
ha400,@,HA Poststelle
ha411,@,HA ZfW
ha414,@,HA Büro Wert / Architektur
ha496,@,HA Gleichstellungsbüro
ha523,@,HA Büro Seibel / Bauwesen
ha553,@,HA Büro Plog / Bauwesen
ha557,@,HA Büro Wigger / Bauwesen
ha579,@,HA Büro Jaquemotte / Geoinformation
ha613,@,HA Labor für Gesundheit
ha617,@,HA Büro Bitzer / TGM
ha618,@,HA Büro Gerdes / Bibliothek
ha635,@,HA Labor für Bodenmechanik
ha637,@,HA FM/IW
ha645,@,HA Büro Lorenz / Bauwesen
ha733,@,HA Büro für Bauchemie
ha766,@,HA Physiklabor
ha779,@,HA Büro Plotz / TGM
ha783,@,HA Büro Pätzold / Bauwesen
ha786,@,HA Büro Westwood / Presse & Kommunikation
ha789,@,HA Labor für Straßenbau
ha854,@,HA Büro Palme / Bauwesen
ha888,@,HA Büro Franz / TGM
ha912,@,HA Technologie & Transfer
ha939,@,HA Labor für Bauphysik
ha943,@,HA Büro Weitkämper / Geoinformation
ha979,@,HA Büro Seybold / TGM
ha986,@,HA Büro Golombiewski / Bauwesen
mag,@,Magazin
sa271,@,SA Frau Dr. Becker / Lesesaal/Regal 10
sa473,@,SA Herr Dr. Schramm / Lesesaal/Regal 10
sa642,@,SA Plog / Bibliothek Regal 10
sa807,@,SA Energiewende / Bibliothek Regal 10
sa828,@,SA Koppelin / Bibliothek Regal 10
sa829,@,SA Herr Pollock / Bibliothek Regal 10
sa830,@,SA Herr Schmitt / Bibliothek Regal 10
sa831,@,SA Herr Robbers / Bibliothek Regal 10
sa832,@,SA Bargholz/Oevermann: Entwurf u. Detail / Bibliothek Regal 10
sa833,@,SA Prof. Dr. Schubert / Bibliothek Regal 10
sa834,@,SA Prof. Kaiser: Konstruieren 1. Semester / Bibliothek Regal 10
