library,iln,isil_code,short_name,loan_codes,material_codes
1992,16,NULL,"ZK Sachsen Anhalt",bdu?,BEGKMSVX
1993,292,NULL,"ZK Thu?ringen",bdu?,BEGKMSVX
1994,14,NULL,"Norddeutscher ZK",bdu?,BEGKMSVX
1996,15,NULL,"ZR Formalerschließung",bdu?,BEGKMSVX
1997,16,NULL,"ZK Sachsen-Anhalt",bdu?,BEGKMSVX
1999,1,DE-601,"GBV/VZG <601>",bdu?,BEGKMSVX
1999/0001,1,NULL,"BRZN ABT 1",NULL,NULL
1999/0090,1,NULL,"VZG Abteilung DigiBib <123>",bdfsu?,ABEKT
1999/0999,1,NULL,"VZG Bibserv",NULL,NULL
1999/1000,1,NULL,"VZG freie kennungen",NULL,NULL
2004,19,NULL,ZDB,NULL,NULL
2011,19,NULL,GKD,NULL,NULL
2012,19,NULL,GND,NULL,NULL
2013,19,NULL,PND,NULL,NULL
2014,19,NULL,Basisklassifikation,NULL,NULL
2015,19,NULL,IKAR,NULL,NULL
2016,1,NULL,"Swets Blackwell",NULL,NULL
2017,394,NULL,IWF,NULL,NULL
2023,396,NULL,"British Library",NULL,NULL
2028,19,NULL,VD17,NULL,NULL
2030,374,NULL,Nationallizenzen,NULL,NULL
2031,703,NULL,Springer,NULL,NULL
2034,19,NULL,VD16,NULL,NULL
2045,703,NULL,Verlagsdaten,NULL,NULL
2049,19,NULL,VD18,NULL,NULL
2110,6,NULL,"HEBIS Bestand",NULL,NULL
2111,2,NULL,"HBZ Bestand",NULL,NULL
2112,3,NULL,"BVB Bestand",NULL,NULL
2113,4,NULL,"BSZ Bestand",NULL,NULL
2114,5,NULL,"KOBV Bestand",NULL,NULL
2115,9,NULL,"OeBV Bestand",NULL,NULL
3007,40,NULL,"NZK Go? RETRO <7>",NULL,NULL
3014,636,DE-H357,"Inst. Sozialforschung HH <H 357>",NULL,NULL
3027,170,NULL,"PTB Braunschweig + Berlin",bdu?,BEGKMSVX
3027/0001,170,DE-Bs68,"Braunschweig PTB",bdu?,BEGKMSVX
3027/0002,170,DE-B108,"Berlin PTB",bdu?,BEGKMSVX
3041,41,NULL,"Fak.  Forst. Go? <Hn 1>",NULL,BEGKMSVX
3041/0011,41,NULL,"Inst. Forstpol. Go? <7/512>",NULL,NULL
3042,42,NULL,"Zentrale Einrichtgn Uni Go?",NULL,BEGKMSVX
3042/0133,42,NULL,"Inst. Sportw. Go? <7/133>",NULL,NULL
3042/0902,42,NULL,"Sprachlehrzentrum  <7/902>",NULL,NULL
3042/0904,42,NULL,"Infothek Studienzentrale <7/904>",NULL,NULL
3042/0913,42,NULL,"Frauenbu?ro der Uni Go? <7/913",NULL,NULL
3043,43,NULL,"WiSo Fak Go?",bdu,BEGKMSVX
3043/0000,43,NULL,"Wiso Bibliographie Go?",NULL,NULL
3043/0066,43,NULL,"Inst. fu?r Ethnologie Go? <7/0",NULL,NULL
3043/0148,43,NULL,"FB WiSo Go? <7/148>",NULL,NULL
3043/0165,43,NULL,"Ibero-Amerika Inst. <7/165>",NULL,NULL
3044,44,NULL,"Bibl. Fachdidakt. Pa?d. Psych.",bdu,BEGKMSVX
3044/0006,44,NULL,"Inst. f. Psychologie <7/006>",NULL,NULL
3044/0050,44,NULL,"Pa?dagogisches Sem. Go? <7/050",NULL,NULL
3044/0160,44,NULL,"FB Erziehungswiss. Go? <7/160>",NULL,NULL
3045,45,NULL,"Jur. Fak. Go?",bdu,BEGKMSVX
3045/0037,45,NULL,"Juristisches Sem. <7/037>",NULL,NULL
3045/0041,45,NULL,"Inst. f. Vo?lkerrecht <7/041>",NULL,NULL
3045/0118,45,NULL,"Inst.f.Landwirtsch.Recht <7/118>",NULL,NULL
3045/0155,45,NULL,"Abt. Ro?m.u.Gem. Recht <7/155>",NULL,NULL
3045/0200,45,NULL,"Inst. f. Arbeitsrecht <7/200>",NULL,NULL
3045/0201,45,NULL,"Inst. Allg. Staatslehre <7/201>",NULL,NULL
3047,47,NULL,"MPI Sonnensystem <Lin 1B>",bdu,BEGKMSVX
3048,48,NULL,"MPI Exp. Med.<Go? 134>",bdu?,BEGKMSVX
3048/0134,48,NULL,"MPI Exp. Med.<Go? 134>",NULL,NULL
3049,49,NULL,"MPI MMG <Go? 164>",bdu,BEGKMSVX
3053,53,NULL,"HAWK HHG",bdu?,BEGKMSVX
3053/0001,53,DE-Hil3-1,"Göttingen HAWK Natwiss.",bdu?,BEGKMSVX
3053/0002,53,DE-Hil3-2,"Göttingen HAWK",bdu?,BEGKMSVX
3054,54,NULL,"Phil. Fak. Go?",NULL,NULL
3054/0023,54,NULL,"Althist. Seminar Go? <7/23>",NULL,NULL
3054/0024,54,NULL,"Romanische Philologie Go? <7/02",NULL,NULL
3054/0025,54,NULL,"Sprachforschung <7/025>",NULL,NULL
3054/0029,54,NULL,"Sem. Engl. Phil.Go? <7/29>",NULL,NULL
3054/0032,54,NULL,"Philos. Seminar Go? <7/032>",NULL,NULL
3054/0040,54,NULL,"Sem. Slav. Phil. Go? <7/40>",NULL,NULL
3054/0051,54,NULL,"Ostasiatisches Seminar <7/051>",NULL,NULL
3054/0052,54,NULL,"Sem. Dt. Philologie Go? <7/52>",NULL,NULL
3054/0053,54,NULL,"Sem. Gesch. Go? <7/53>",NULL,NULL
3054/0055,54,NULL,"Kunstgesch. Sem. Go? <7/55>",NULL,NULL
3054/0056,54,NULL,"Musikwiss. Sem Go? <7/056>",NULL,NULL
3054/0068,54,NULL,"Sem Ur- Fru?hgesch. Go? <7/068",NULL,NULL
3054/0115,54,NULL,"Sem. Arab. Go? <7/115>",NULL,NULL
3054/0138,54,NULL,"Skandinavisches Sem. <7/138>",NULL,NULL
3054/0139,54,NULL,"Inst. Kulturanthropol Go? <7/13",NULL,NULL
3054/0140,54,NULL,"Finnisch-Ugrisches Sem. <7/140>",NULL,NULL
3054/0141,54,NULL,"Indologie+Buddhismus <7/141>",NULL,NULL
3054/0142,54,NULL,"Sem. A?gyptologie Go? <7/142>",NULL,NULL
3054/0151,54,NULL,"Sem. Klass. Philologie <7/151",NULL,NULL
3054/0159,54,NULL,"Sem f. Keilschrift Go? <7/159>",NULL,NULL
3054/0222,54,NULL,"Inst. Hist. Landesf. Go? <7/222",NULL,NULL
3054/0223,54,NULL,"Bibl. Mittelalter <7/223>",NULL,NULL
3054/0224,54,NULL,"Inst. Wiss. gesch. Go? <7/224>",NULL,NULL
3054/0301,54,NULL,"Christl. Archaeologie <7/301>",NULL,NULL
3054/0722,54,NULL,"Inst. Hist. Landesf. Go? <7/222",NULL,NULL
3055,55,NULL,"MPI OHB <Go? 116>",bdu?,BEGKMSVX
3056,56,NULL,"Fak. Physik Go?",bdu,BEGKMSVX
3056/0057,56,NULL,"Inst. fu?r Geophysik <7/057>",NULL,NULL
3059,59,NULL,"MPI Dynamik Selbstorg",bdu,BEGKMSVX
3064,64,NULL,"ULB Halle Uni. Bibliographie",NULL,NULL
3066,66,NULL,"HS Kunst Design Halle <Ha 125>",bdu?,BEGKMSVX
3077,77,NULL,"Nds. Landtag <Hv 14>",bdu?,BEGKMSVX
3089,89,NULL,"Bibliotheksschule Hannover",bdu,BEGKMSVX
3090,90,DE-Hil2,"Hildesheim UB",bdu?,BEGKMSVX
3091,91,NULL,"HAWK HHG",NULL,BEGKMSVX
3091/0003,91,DE-Hil3-3,"Holzminden HAWK",u?,BEGKMSVX
3091/0004,91,NULL,"HAWK HHG <Hil 3/4>",NULL,NULL
3091/0005,91,NULL,"HAWK HHG <Hil 3/5>",NULL,NULL
3091/0006,91,NULL,"HAWK HHG <Hil 3/6>",NULL,NULL
3091/0007,91,NULL,"HAWK HHG <Hil 3/3>",u?,BEGKMSVX
3091/0009,91,NULL,"HAWK HHG <Hil 3>",NULL,NULL
3095,95,NULL,"FH  Merseburg <542>",bdu?,BEGKMSVX
3095/0001,95,DE-542,"Merseburg FH",bdu?,BEGKMSVX
3095/0002,95,NULL,"ULB ZWB Tech Mers.<3/55>",bdu?,BEGKMSVX
3096,96,NULL,"Hamburger Gerichtsbibliotheken",bdu?,BEGKMSVX
3096/0001,96,NULL,"Gerichtsbibl. Lu?b. Tor. <H 358",NULL,NULL
3096/0002,96,NULL,"Landessozialgericht HH <H 123>",NULL,NULL
3096/0003,96,NULL,"Landesarbeitsgericht HH <H 359>",NULL,NULL
3096/0004,96,NULL,"Hanseatisches OLG <H 50>",NULL,NULL
3099,99,NULL,"FHR Nord Hildesheim",NULL,NULL
3099/0004,99,NULL,"Nds FHVR Polizei HMU?",NULL,NULL
3099/0005,99,NULL,"NDSFHVR Polizei OL",NULL,NULL
3100,100,DE-Ma9,"Magdeburg UB",bdu?,BEGKMSVX
3100/0001,100,NULL,"FB Erz.wiss. <Ma 9/1>",bdu?,BEGKMSVX
3101,101,DE-Ma14,"Magdeburg Med. ZB",bdu?,BEGKMSVX
3101/0045,101,NULL,"Inst. fu?r Neurobiologie <MA 45",NULL,NULL
3101/0333,101,DE-3101,"FLplus MZB Magdeburg",NULL,NULL
3109,109,NULL,"Med. Fak. Go?",NULL,NULL
3109/0011,109,NULL,"Zentrum Physiologie <7/011>",NULL,NULL
3109/0048,109,NULL,"Abt. Psychiatrie <7/048>",NULL,NULL
3109/0154,109,NULL,"Abt. Ethik Gesch. Med. <7/154>",NULL,NULL
3109/0728,109,NULL,"Med Psychologie u.Soz Go? <7/72",NULL,NULL
3109/0907,109,NULL,"Akademie Ethik i.d.Med <7/907>",NULL,NULL
3110,110,DE-Luen4,"Lüneburg UB",bdu?,BEGKMSVX
3110/0001,110,DE-Luen4-1,"Lüneburg UB/FB Sozialwes.",bdu?,ABEGKMSVX
3110/0002,110,NULL,"UB Lu?neburg / TB Volgershall",bdu?,BEGKMSVX
3110/0005,110,NULL,"UB Lu?neburg/Teilbib. Suderburg",bdu?,BEGKMSVX
3110/0333,110,DE-Luen4,"Lüneburg UB",NULL,NULL
3113,113,NULL,"Staatsarchiv Hamburg <H 46>",NULL,NULL
3114,114,NULL,"Polizei / HdP Hamburg <18/301>",NULL,NULL
3114/0002,114,NULL,"FH LPS HH <18/301>",NULL,NULL
3119,119,NULL,"Thu?r. Beho?rdenbibl. Erfurt",NULL,NULL
3119/0001,119,NULL,"Thu?r. Min. Wissenschaft <Ef 28",NULL,NULL
3119/0002,119,NULL,"Bibl. Thu?ringer Landtag",NULL,NULL
3119/0003,119,NULL,"Bibl. Thu?ring. Justizministeri",NULL,NULL
3119/0004,119,NULL,"Thu?ringer Staatskanzlei",NULL,NULL
3119/0005,119,NULL,"Thu?ringer Innenministerium",NULL,NULL
3119/0006,119,NULL,"Bibl. Thu?ring. Finanzministeri",NULL,NULL
3119/0007,119,NULL,"Thu?r. Min. Landw. Natur. Umwel",NULL,NULL
3119/0008,119,NULL,"Min. Soziales Familie Gesundheit",NULL,NULL
3119/0009,119,NULL,"Thu?r. Min. Wirtschaft u. Arbei",NULL,NULL
3119/0010,119,NULL,"Thu?r. Kultusministerium",NULL,NULL
3119/0011,119,NULL,"Bildungszentrum Gotha/VwFS <G11>",NULL,NULL
3119/0012,119,NULL,"Thu?r. Landesamt fu?r Statisti",NULL,NULL
3119/0013,119,NULL,"Landgericht Erfurt <Ef 21>",NULL,NULL
3119/0014,119,NULL,"Justizzentrum Erfurt",NULL,NULL
3119/0015,119,NULL,"Landgericht Mu?hlhausen",NULL,NULL
3119/0016,119,NULL,"Thu?r. Finanzgericht",NULL,NULL
3119/0017,119,NULL,"Staatsanwaltschaft Mu?hlhausen",NULL,NULL
3119/0018,119,NULL,"Sozialgericht Nordhausen",NULL,NULL
3120,467,DE-580,"Erfurt Lfachstelle ÖB Thür.",bdu?,BEGKMSVX
3121,468,DE-Ha162,"Halle/Saale Fachstelle öffB",bdu?,BEGKMSVX
3122,604,NULL,"Ehem. UB Helmstedt <Hel 1>",NULL,NULL
3124,664,DE-Brk1,"NMZ Breklum <Brk 1>",NULL,NULL
3128,128,NULL,"Mathem. Fak. Go?",NULL,NULL
3128/0003,128,NULL,"Mathematisches Inst. <7/003>",NULL,NULL
3128/0027,128,NULL,"Inst. Math. Stochastik <7/027>",NULL,NULL
3128/0157,128,NULL,"Inst. Num. Math. <7/157>",NULL,NULL
3128/0401,128,NULL,"Inst. Num. Math. Go? <7/401>",NULL,NULL
3129,129,NULL,"Fak. Agrarwiss. Go?",NULL,NULL
3129/0038,129,NULL,"Inst. Tierzucht Go? <7/38>",NULL,NULL
3129/0060,129,NULL,"Pflanzenbau/Pflanzenzu?ch <7/06",NULL,NULL
3129/0061,129,NULL,"Agraro?konomie Go? <7/061>",NULL,NULL
3129/0064,129,NULL,"Inst. Tierphysiologie <7/064>",NULL,NULL
3129/0132,129,NULL,"Inst. f. Agrartechnik  <7/132>",NULL,NULL
3129/0143,129,NULL,"Inst. Pfl. path. Schutz <7/143>",NULL,NULL
3129/0153,129,NULL,"Rurale Entw. Go? <7/153>",NULL,NULL
3129/0156,129,NULL,"Tropenpflanzenbau <7/15>",NULL,NULL
3129/0602,129,NULL,"Abt. Agrarpedologie <7/602>",NULL,NULL
3131,131,NULL,"UB Vechta <Va 1>",bdu?,BEGKMSVX
3134,134,NULL,"ZGG Go?ttingen",bdu,BEGKMSVX
3149,149,NULL,"Theol. Fak. Go?",NULL,NULL
3149/0042,149,NULL,"Verein. Theol. Sem. <7/042>",NULL,NULL
3157,157,NULL,"Ostfries. Landschaft <Au 3>",bdu?,BEGKMSVX
3158,158,NULL,"Biol. Fak. Go?",bdu,BEGKMSVX
3158/0030,158,NULL,"Inst. Zoologie-Anthropol <7/030>",NULL,NULL
3158/0067,158,NULL,"Abt. Entwick. Physiol. <7/067>",NULL,NULL
3158/0127,158,NULL,"System. Botanik Go? <7/127>",NULL,NULL
3158/0128,158,NULL,"Inst. Mikrobiol/Gen. Go? <7/128",NULL,NULL
3159,159,NULL,"Selbst. Assoziierte Bibl. Go?",bdu,BEGKMSVX
3159/0001,159,NULL,"Genealogischer Verein <7/908>",NULL,NULL
3162,162,DE-Bv3,"Bremerhaven DSM WGL",d?,BEGKMSVX
3168,168,DE-Bst1,"Forschungszentr. Borstel <Bst 1>",NULL,NULL
3173,173,NULL,"frei ehem. ISNM Lu?beck",NULL,NULL
3175,279,NULL,"MPI MF Heidelberg <He 43>",NULL,NULL
3178,178,NULL,"Univ. Bibliographie Magdeburg",NULL,NULL
3181,181,NULL,"PKB (Museen) Berlin",NULL,NULL
3181/0001,181,NULL,"Digitale Bibliothek",NULL,NULL
3181/0010,181,NULL,"Kunstbibl. Kulturforum <B11>",NULL,NULL
3181/0011,181,NULL,"Lipperheid. Kostu?mbibl.",NULL,NULL
3181/0012,181,NULL,"Kunstbibl. Museumsinsel <B11a>",NULL,NULL
3181/0014,181,NULL,"Zentralarchiv Staatl. Museen",NULL,NULL
3181/0015,181,NULL,"Archa?ologische Bibliothek",NULL,NULL
3181/0020,181,NULL,"Ethnologisches Museum <B11b>",NULL,NULL
3181/0030,181,NULL,"Museum Europ. Kulturen <B 11c>",NULL,NULL
3181/0040,181,NULL,"Museum Vor- Fru?hgesch. <B 11d>",NULL,NULL
3181/0050,181,NULL,"Inst. fu?r Museumskunde <B 11e>",NULL,NULL
3181/0060,181,NULL,"A?MP <B 11f>",NULL,NULL
3181/0061,181,NULL,"Papyrussammlung Berlin <B 11f>",NULL,NULL
3181/0070,181,NULL,"Antikensammlung <B 11g>",NULL,NULL
3181/0080,181,NULL,"Museum fu?r Fotografie",NULL,NULL
3181/0090,181,NULL,"Gema?ldegalerie Berlin <B 11h>",NULL,NULL
3181/0100,181,NULL,"Kunstgewerbemuseum <B 11i>",NULL,NULL
3181/0110,181,NULL,"Kupferstichkabinett <B 11k>",NULL,NULL
3181/0120,181,NULL,"Museum Ind. Kunst <B 11m>",NULL,NULL
3181/0130,181,NULL,"Museum Islam. Kunst <B 11n>",NULL,NULL
3181/0140,181,NULL,"Mus. Ostasiat. Kunst <B 11o>",NULL,NULL
3181/0150,181,NULL,"Mu?nzkabinett Berlin <B 11p>",NULL,NULL
3181/0160,181,NULL,"Alte Nationalgalerie<B 11q>",NULL,NULL
3181/0170,181,NULL,"Neue Nationalgalerie <B 11r>",NULL,NULL
3181/0180,181,NULL,"Hamburger Bahnhof Berlin <B 11s>",NULL,NULL
3181/0190,181,NULL,"Skulpturensammlung Berlin <B11t>",NULL,NULL
3181/0191,181,NULL,"Museum f. Byzantin. Kunst <B11u>",NULL,NULL
3181/0200,181,NULL,"Vorderasiatisches Museum <B 11v>",NULL,NULL
3181/0210,181,NULL,"Rathgen-Forsch. Labor<B 11w>",NULL,NULL
3184,184,DE-H360,"Bucerius Law School <H 360>",NULL,NULL
3188,188,NULL,"Thu?r. Beho?rdenbibl. Jena",NULL,NULL
3188/0001,188,NULL,"Thu?r. LA Umwelt u. Geologie",NULL,NULL
3188/0002,188,NULL,"Thu?ringer OLG <J 153>",NULL,NULL
3188/0003,188,NULL,"Thu?r. Generalstaatsanwaltschaf",NULL,NULL
3188/0004,188,NULL,"Landgericht Gera",NULL,NULL
3188/0005,188,NULL,"Verwaltungsgericht Gera",NULL,NULL
3188/0006,188,NULL,"Staatsanwaltschaft Gera",NULL,NULL
3188/0007,188,NULL,"Sozialgericht Altenburg",NULL,NULL
3194,194,NULL,"BFA Forst Holz HH <H 105>",bdu?,BEGKMSVX
3195,195,NULL,"Inst. Pflanz. Biol. <Ha 93>",NULL,NULL
3196,196,NULL,"Fak. Geowiss. Go?",NULL,NULL
3196/0016,196,NULL,"Geowiss. Bibliothek  <7/016>",NULL,NULL
3196/0022,196,NULL,"Geogr. Inst.  <7/022>",NULL,NULL
3197,197,NULL,"Fak. Chemie Go?",NULL,NULL
3197/0001,197,NULL,"Inst. Organische Chemie <7/001>",NULL,NULL
3197/0058,197,NULL,"Inst.Anorganische Chemie <7/058>",NULL,NULL
3197/0059,197,NULL,"Inst.Physikalische Chem. <7/059>",NULL,NULL
3198,198,NULL,"Marktkirche Goslar",NULL,NULL
3200,200,NULL,"Nds. Hauptstaatsarchiv <Hv 4>",NULL,NULL
3202,202,NULL,"Dt. Meeresmuseum <Sra 6>",NULL,NULL
3204,204,NULL,"UFB Erfurt/Gotha Uni.Bibliograph",NULL,NULL
3205,205,NULL,"UFB Erfurt/Gotha Forschungsdok",NULL,NULL
3207,207,DE-1041,"Heide FH Westküste",bdu?,BEGKMSVX
3215,215,DE-Ma54,"Magdeburg MPI DKTS,MA <Ma 54>",bdu?,BEGKMSVX
3215/7000,215,DE-Ma54,"Magdeburg MPI DKTS",bdu?,BEGKMSVX
3218,218,NULL,"Inst. Ost-West-Fragen Lu?neburg",NULL,NULL
3224,224,NULL,"IAMO Halle",NULL,NULL
3225,225,NULL,"MFPA  Weimar <Wim 21>",bdu?,BEGKMSVX
3226,226,NULL,"ZK O?B Niedersachsen",bdu?,BEGKMSVX
3233,233,NULL,"Nds. FH Verwalt. Recht <18/299>",NULL,NULL
3233/0001,233,NULL,"Nds. FH Verwaltung und Recht",NULL,NULL
3234,234,NULL,"Muthesius HS Kiel <572>",NULL,NULL
3235,235,NULL,"AHB-Bibliotheken Hannover",NULL,NULL
3235/0001,235,DE-Hv128,"Bibl. Nds. Sozialmin. <Hv 128>",NULL,NULL
3235/0002,235,NULL,"Bibl. Oberfinanzdirektion Hann.",NULL,NULL
3235/0003,235,NULL,"Bibl. Landgericht Hannover",NULL,NULL
3235/0004,235,NULL,"Nds. Min. fu?r Wirtschaft",NULL,NULL
3235/0005,235,DE-Hv131,"Nds. Min. Landw.,Hann <Hv 131>",NULL,NULL
3235/0006,235,NULL,"Nds. Umweltministerium",NULL,NULL
3235/0007,235,NULL,"Nds. Min. Wiss. Kultur",NULL,NULL
3235/0008,235,DE-Hv133,"Nds. Justizministerium <Hv 133>",NULL,NULL
3235/0009,235,NULL,"Nds. Kultusministerium",NULL,NULL
3235/0010,235,DE-Hv110,"Hannover Staatskanzlei",u?,BEGKMSVX
3235/0011,235,NULL,"Verwaltungsgericht Hannover",NULL,NULL
3235/0012,235,DE-Hv118,"Sozialgericht Hannover <Hv 118>",NULL,NULL
3235/0013,235,NULL,"Nds. Finanzgericht Hannover",NULL,NULL
3235/0014,235,NULL,Landesversicherungsanstalt,NULL,NULL
3235/0015,235,NULL,"Nds. Landesamt f. Bezu?ge <Go?",NULL,NULL
3235/0016,235,NULL,"Nds. Landesamt Soziale Aufgaben",NULL,NULL
3235/0017,235,NULL,"Landesarbeitsamt Nds.-Bremen",NULL,NULL
3235/0018,235,NULL,"Landesarbeitsgericht Nds.",NULL,NULL
3235/0019,235,NULL,"Landkreis Hannover",NULL,NULL
3235/0020,235,NULL,"Nds. Oberverwaltungsger. <Lu?n",NULL,NULL
3235/0021,235,NULL,"EKD Bibliothek <Hv 134>",NULL,NULL
3235/0022,235,NULL,"Norddt. Metall-Berufsgen.",NULL,NULL
3235/0023,235,NULL,Bau-Berufsgenossenschaft,NULL,NULL
3235/0024,235,NULL,"Hochschul-Inform. System GmbH",NULL,NULL
3235/0025,235,DE-Hil4,"Hildesheim Landesb.Wasserw.",bdu?,BEGKMSVX
3235/0026,235,DE-Hil5,"Nds. Landesrechnungshof <Hil 5>",NULL,NULL
3235/0027,235,NULL,"Landgericht Hildesheim",NULL,NULL
3235/0029,235,NULL,"LSG Celle <G 29>",NULL,NULL
3235/0030,235,NULL,"OLG Celle <Ce 2>",NULL,NULL
3235/0031,235,NULL,"OLG Oldenburg <940>",NULL,NULL
3235/0032,235,NULL,"Polizeiakademie Niedersachsen",NULL,NULL
3235/0033,235,NULL,"Fu?rstl. Schaumb. Lipp. Hofbibl",NULL,NULL
3235/0034,235,NULL,"Nds. Innenministerium <Hv 126>",NULL,NULL
3235/0099,235,NULL,"NLF B Hannover",NULL,NULL
3237,237,NULL,"Leucorea Wittenberg <Wb 12>",NULL,NULL
3238,238,NULL,"FES Bonn <Bo 133>",bdu?,BEGKMSVX
3239,239,DE-J126,"MPI Chem. O?kol.,Jena <J 126>",NULL,NULL
3241,241,NULL,"SIM-PK Berlin <B 763>",NULL,NULL
3244,244,NULL,"Geheimes Staatsarchiv PK",NULL,NULL
3245,245,NULL,"Thu?r. Beho?rdenbibl. Ilmenau",NULL,NULL
3245/0001,245,NULL,"Thu?r. LA Mess- Eichwesen",NULL,NULL
3245/0002,245,NULL,"Justizmin. Meiningen",NULL,NULL
3245/0003,245,NULL,"VerwaltungsFH Polizei",NULL,NULL
3250,250,DE-Ga20,"Gera Studienakad.",bu?,BEGKMSVX
3258,258,NULL,"FH Rotes Kreuz Go?ttingen",NULL,NULL
3259,259,NULL,"MPI Ornithologie <Star 1>",NULL,NULL
3260,200,NULL,"Nds. Hauptstaatsarchiv <Hv 4>",NULL,NULL
3262,362,NULL,"Kirchenmusik Bibl. Hamburg",NULL,NULL
3263,263,NULL,"MPI  Biomedizin Mu?nster",NULL,NULL
3264,264,DE-897-1,"Elsfleth Jade Hochschule",bdu?,BEGKMSVX
3271,271,NULL,"Institutsbibliothek Genshagen",NULL,NULL
3280,280,NULL,"AdW Go?ttingen",NULL,NULL
3280/0001,280,NULL,"Enzyklop. d. Maerchens <7/906>",NULL,NULL
3280/0003,280,NULL,"Gelehrte Journale",NULL,NULL
3280/0906,280,NULL,"Enzyklop. d. Maerchens <7/906>",NULL,NULL
3280/0911,280,NULL,"Sanskrit-Wo?rterbuch <7/911>",NULL,NULL
3281,281,DE-Ei6,"Eisenach BA",bdu?,BEGKMSVX
3282,282,NULL,"IFM Wolfen <Wol 5>",NULL,NULL
3283,283,NULL,"MPI ethnol. Forschung <Ha 163>",NULL,NULL
3285,175,NULL,"Inst Wirtschaftsforsch. <M 158a>",NULL,NULL
3286,286,DE-Hbg1,"Hermannsburg FH",bdu?,BEGKMSVX
3287,287,NULL,"Bibl. A?rztl. Verein HH <H 20>",NULL,NULL
3288,288,NULL,"HAAB Weimar Bibliographie",NULL,NULL
3289,289,NULL,"ULB Halle Regionalbibliographie",NULL,NULL
3290,290,NULL,"MPI Molek. Zellbiologie <D 267>",NULL,NULL
3291,291,DE-Jor1,"ESTEBURG Jork <Jor 1>",NULL,NULL
3293,293,DE-960-3,"Hannover Kurt-Schwitters-Forum",bdu?,BEGKMSVX
3293/0001,293,NULL,"Teilbibl. Kunst Design der HsH",bdu?,BEGKMSVX
3293/0002,293,NULL,"Teilbibl. Journalistik der HMTMH",NULL,NULL
3293/0333,293,DE-960-3,"Hannover Kurt-Schwitters-Forum",NULL,NULL
3294,294,NULL,"Thu?r. Beho?rdenbibl. Weimar",NULL,NULL
3294/0001,294,NULL,"Thu?r. Landesverwaltungsamt",NULL,NULL
3294/0002,294,NULL,"Thu?r. Verfassungsgerichtshof",NULL,NULL
3294/0003,294,NULL,"Verwaltungsgericht Weimar",NULL,NULL
3294/0004,294,NULL,"TLDA Weimar <Wim 7>",u?,BEGKMSVX
3294/0005,294,NULL,"Thu?r. Hauptstaatsarch. Weimar",NULL,NULL
3295,295,NULL,"VDG Du?sseldorf <Du? 55>",NULL,NULL
3296,296,NULL,"Goethe-Institute, Mu?nchen",NULL,NULL
3297,297,NULL,"LA Denkmalpflege Kiel",NULL,NULL
3298,298,NULL,"Kloster St. Marienberg",NULL,NULL
3300,300,NULL,"Produktionstechn. Zentr. Hann.",NULL,NULL
3307,211,NULL,"IPK Gatersleben <Gat 1>",bdu?,BEGKMSVX
3309,171,NULL,"Leopoldina Halle <Ha 2>",bdu?,BEGKMSVX
3310,278,NULL,"Marienbibl. <Ha 32>",bdu?,BEGKMSVX
3311,123,NULL,"Franckesche Stift. <Ha 33>",bdu?,BEGKMSVX
3313,135,NULL,"LDA Halle <Ha 91>",bdu?,BEGKMSVX
3313/0001,135,NULL,"LDA Halle <Ha 115>",bdu?,BEGKMSVX
3315,153,NULL,"MPI Mikrostrukt. Halle <Ha 94>",bdu?,BEGKMSVX
3318,444,DE-Ha101,"Halle/S Händel-Haus Halle <Ha 101>",bdu?,BEGKMSVX
3329,118,NULL,"HSB HSAnhalt <Kt 1>",bdu?,BEGKMSVX
3329/0004,118,NULL,"Stiftung Bauhaus Dessau",NULL,NULL
3336,212,NULL,"Inst. f. Neurobiol. (ungu?ltig)",bdu?,BEGKMSVX
3345,345,NULL,"Ev. Pred. Sem.<Wb 1>",bdu?,BEGKMSVX
3346,384,NULL,"Stift. Luthergedenkst.<Wb 2>",bdu?,BEGKMSVX
3349,236,NULL,"UB Chemnitz <Ch 1>",NULL,NULL
3350,206,NULL,"HSB Theol. HS Friedensau <Brg 3>",bdu?,BEGKMSVX
3350/0001,206,NULL,"V. f. Freikirchenf. Mu?nster",NULL,NULL
3368,582,DE-Wb6,"Wittenberg StB",bdu?,BEGKMSVX
3369,412,DE-Na6,"Naumburg/S. StB",bdu?,BEGKMSVX
3370,413,DE-Z4,"Zeitz StB",bdu?,BEGKMSVX
3372,415,DE-Mer12,"Merseburg StB",bdu?,BEGKMSVX
3374,416,DE-Sw2,"Salzwedel StuKrsB",bdu?,BEGKMSVX
3375,417,DE-Gad1,"Gardelegen StuKrsB",bdu?,BEGKMSVX
3376,418,DE-Gai1,"Gräfenhainichen StB",bdu?,BEGKMSVX
3377,419,DE-Ko1,"Klötze StuKrsB",bdu?,BEGKMSVX
3379,420,DE-Gen2,"Genthin StuKrsB",bdu?,BEGKMSVX
3380,470,DE-Ste3,"Stendal StB",bdu?,BEGKMSVX
3381,421,DE-We5,"Ilsenburg StB",bdu?,BEGKMSVX
3383,422,DE-1906,"Jessen StB",bdu?,BEGKMSVX
3385,423,DE-Ze2,"Zerbst StB",bdu?,BEGKMSVX
3386,435,DE-Bbg10,"Bernburg StB",bdu?,BEGKMSVX
3390,199,NULL,"Zentrum Med. Psych. Go?",NULL,NULL
3395,436,DE-1908,"Braunsbedra StB",bdu?,BEGKMSVX
